Time,s1Rz,s1Ry,s1Rx,s1Tx,s1Ty,s1Tz,s2Rz,s2Ry,s2Rx,s2Tx,s2Ty,s2Tz
00:00:35.050,14.5344915,-2.0119452,-164.3197372,-21.135,-20.132,-195.686,160.9129896,14.0397214,-7.1108521,-211.83,53.198,-227
00:00:35.075,28.1498585,-3.5850832,-165.7696451,-24.095,-21.931,-195.748,161.6191152,16.9525742,-6.2210964,-204.514,50.5,-233.451
00:00:35.100,16.8371431,-2.4043076,-163.8597044,-21.579,-19.411,-196.598,163.2544293,15.1575027,-4.7497144,-207.402,46.067,-225.88
00:00:35.125,6.3153057,-0.9588932,-162.7495457,-19.081,-17.93,-195.877,168.1572786,12.7465854,-1.7703592,-209.521,40.86,-213.895
00:00:35.150,4.2353656,-0.5613077,-164.9079895,-18.924,-20.778,-195.221,166.8935244,12.6250275,-3.0409673,-213.994,46.879,-222.274
00:00:35.175,2.0316915,-0.2758126,-164.5396983,-18.46,-19.818,-196.736,164.1663571,11.2599826,-1.2492512,-218.845,42.467,-219.215
00:00:35.200,19.1552178,-2.6851786,-164.1847264,-22.384,-19.634,-197.202,165.4702758,9.915524,-0.7170989,-218.388,39.157,-211.181
00:00:35.225,23.7921277,-3.2161116,-164.8186953,-23.837,-20.205,-195.411,165.5906406,15.4679607,-1.2425332,-208.889,40.094,-224.714
00:00:35.250,12.5452249,-1.7016493,-164.6108617,-21.093,-19.996,-195.452,164.8966116,12.7834804,-2.8974779,-213.441,45.964,-220.82
00:00:35.275,8.0824186,-1.0947537,-164.597423,-19.786,-20.32,-195.336,166.3938392,9.4126232,-3.7273962,-217.881,47.199,-211.259
00:00:35.300,6.4811803,-0.8703344,-164.7192522,-19.583,-20.314,-195.236,162.0921396,12.027556,-6.6284724,-216.718,53.326,-223.044
00:00:35.325,7.806111,-1.1013229,-163.9629285,-20.165,-19.117,-196.717,157.7848819,12.3991196,-7.9470339,-216.162,54.689,-226.169
00:00:35.350,26.3920074,-3.6986447,-164.318939,-23.975,-19.935,-196.511,158.8990168,12.8637652,-8.2461245,-213.356,54.165,-226.887
00:00:35.375,26.6886472,-3.4927115,-165.351434,-23.842,-21.123,-196.155,161.1337267,17.7152225,-6.2313871,-204.273,50.557,-235.214
00:00:35.400,7.1375087,-0.9914052,-164.2041531,-19.804,-19.435,-196.534,164.5938755,14.7942575,-3.3350934,-208.271,45.215,-223.153
00:00:35.425,6.6649951,-0.8697509,-165.146662,-19.558,-20.879,-195.184,167.2209342,12.1098443,-3.4133253,-210.528,46.732,-215.248
00:00:35.450,-1.7002965,0.2511775,-163.1946258,-17.566,-18.178,-195.513,163.9831992,14.7388982,-5.8024652,-207.85,51.931,-223.789
00:00:35.475,8.0338464,-1.1502009,-163.7305416,-20.178,-19.025,-196.492,163.5914058,13.291364,-4.6785252,-211.877,49.614,-222.707
00:00:35.500,30.7883266,-3.8972063,-165.9116055,-24.917,-21.741,-195.886,165.6290623,12.8112535,-1.6370721,-209.01,42.22,-216.037
00:00:35.525,20.4047815,-2.6729652,-165.227527,-22.712,-20.983,-196.465,164.5203261,14.0838234,-3.2939558,-208.937,45.266,-221.642
00:00:35.550,7.0566813,-1.0181988,-163.5991281,-19.731,-18.747,-195.67,165.4701642,11.8607143,-2.7612446,-214.175,44.036,-215.758
00:00:35.575,4.4213132,-0.6138387,-164.199185,-18.801,-19.568,-194.574,165.7460232,9.1988975,-3.7602484,-219.424,49.384,-212.427
00:00:35.600,5.046897,-0.6892037,-164.4573399,-19.086,-19.659,-195.666,159.4956535,10.948028,-6.7123595,-218.567,54.585,-221.696
00:00:35.625,20.4490281,-2.7440843,-164.8719656,-22.578,-20.358,-196.607,160.6898951,12.6427824,-4.9598904,-215.755,49.226,-222.307
00:00:35.650,29.9461326,-3.792588,-165.8858374,-24.691,-21.653,-196.049,161.647665,16.5535298,-5.4067655,-205.871,49.513,-230.057
00:00:35.675,11.2916982,-1.552007,-164.3969636,-20.595,-19.731,-196.599,160.21093,16.0073254,-7.2659672,-208.367,52.877,-232.89
00:00:35.700,2.5718175,-0.3886815,-162.81451,-18.353,-17.746,-196.018,165.6140827,13.4226267,-4.4519315,-209.733,47.012,-218.694
00:00:35.725,4.8382347,-0.6401752,-164.9339868,-19.181,-20.585,-195.394,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:35.750,2.9225117,-0.393914,-164.650407,-18.837,-19.687,-196.652,163.4255049,12.7729251,-2.8027015,-215.716,45.797,-223.479
00:00:35.775,19.7057907,-2.7375122,-164.3336075,-22.62,-19.509,-197.141,166.9246232,12.2961084,-0.2242811,-213.786,38.886,-215.715
00:00:35.800,24.7005764,-3.3048926,-164.9883356,-24.037,-20.05,-195.893,166.4652138,16.9325725,-1.186294,-205.192,41.661,-228.553
00:00:35.825,12.4983313,-1.7031855,-164.539581,-21.203,-19.324,-196.115,165.4980165,12.7597994,-1.7075097,-210.896,43.869,-218.265
00:00:35.850,6.580354,-0.8934321,-164.5526462,-19.738,-19.589,-195.734,166.9052846,8.6238075,-3.1192103,-216.762,46.348,-208.251
00:00:35.875,-0.4808487,0.0644336,-164.7357776,-18.509,-19.595,-195.523,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:35.900,7.7461884,-1.0691871,-164.3057247,-20.343,-19.011,-196.954,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:35.925,27.5499076,-3.7182381,-164.9158357,-24.363,-20.297,-196.487,159.4465065,11.2470715,-8.0559894,-216.933,55.987,-223.291
00:00:35.950,26.2290057,-3.4120776,-165.4289771,-24.193,-20.461,-196.488,160.3230937,15.8221435,-6.1512426,-208.43,51.339,-231.509
00:00:35.975,11.8868453,-1.5948595,-164.7697507,-21.398,-19.375,-196.75,164.0978586,12.7816482,-2.824529,-211.119,44.502,-217.438
00:00:36.000,7.7868606,-1.0083788,-165.2649024,-20.051,-20.322,-195.505,165.1734641,11.3247394,-4.9237588,-213.395,50.513,-216.138
