Time,s1Rz,s1Ry,s1Rx,s1Tx,s1Ty,s1Tz,s2Rz,s2Ry,s2Rx,s2Tx,s2Ty,s2Tz
00:00:06.225,50.178702,-7.0224729,-165.0676627,-11.44,-21.085,-189.114,159.4679754,12.1785398,-5.882594,-194.538,50.181,-208.994
00:00:06.250,35.1540904,-5.0274741,-164.2196592,-8.135,-20.073,-188.754,162.8468945,9.7370288,-3.1509178,-198.716,44.896,-200.2
00:00:06.275,36.917058,-5.1598386,-164.6241828,-8.238,-20.952,-187.917,165.0132709,7.982752,-3.7473926,-199.298,46.093,-195.927
00:00:06.300,38.12863,-5.5044829,-164.1613028,-8.797,-20.28,-187.891,163.7099586,9.2196438,-3.7884918,-196.051,45.91,-197.002
00:00:06.325,35.9259651,-5.4162457,-163.3984728,-8.639,-19.077,-189.035,163.9532531,7.0366459,-0.1760001,-199.016,38.359,-189.265
00:00:06.350,45.0766249,-6.5079721,-164.3982746,-10.279,-20.492,-189.511,166.8170293,2.4314821,1.8077611,-204.034,36.1,-180.099
00:00:06.375,43.8677856,-5.968412,-165.2470856,-9.289,-21.272,-188.31,163.3980171,5.1249099,-1.1622499,-202.787,43.132,-190.224
00:00:06.400,32.3215929,-4.5613861,-164.3491435,-7.051,-20.089,-187.741,161.0966061,6.2315624,-3.604022,-203.501,48.285,-194.579
00:00:06.425,39.5175555,-5.4764283,-164.8318238,-9.202,-20.644,-187.717,161.0335899,6.5080999,-4.3300448,-202.588,48.868,-196.04
00:00:06.450,52.8525473,-7.135923,-165.697459,-12.131,-21.903,-188.957,160.2396951,7.1032731,-4.4865066,-201.223,48.311,-197.552
00:00:06.475,44.0999404,-6.4073486,-164.2641477,-10.625,-20.437,-189.488,159.7781775,6.8127507,-4.4341738,-201.806,45.795,-195.342
00:00:06.500,34.3191094,-5.1958109,-163.281115,-8.788,-19.357,-188.865,163.0634624,6.1692028,-3.6902817,-201.97,43.645,-191.304
00:00:06.525,36.2137007,-4.9136267,-165.0490258,-9.018,-21.39,-188.857,162.298368,7.3784942,-5.3279893,-202.672,48.824,-200.475
00:00:06.550,33.959392,-4.5855844,-165.0594152,-8.77,-20.499,-190.208,159.8892203,7.8935556,-3.5596144,-203.717,45.542,-201.408
00:00:06.575,42.4220344,-6.0085318,-164.5971454,-11.258,-19.642,-191.205,163.0474159,8.0649988,-0.8793238,-201.467,39.354,-195.472
00:00:06.600,45.4932559,-6.3281824,-164.9777952,-12.404,-19.462,-190.048,164.7867207,12.0303406,-0.6604627,-195.372,39.944,-203.897
00:00:06.625,36.2617836,-4.9017999,-165.1055719,-10.232,-19.669,-189.801,166.4558343,9.8649923,0.1039434,-199.641,41.156,-200.57
00:00:06.650,35.9910477,-4.9247904,-164.9173874,-9.755,-19.808,-189.233,166.601724,6.8597075,-0.681181,-205.154,42.402,-195.308
00:00:06.675,44.5057362,-6.1283227,-165.0928931,-11.539,-20.531,-189.763,165.8108314,6.2281677,-1.4154665,-202.966,42.146,-190.111
00:00:06.700,43.4238792,-5.9532269,-165.1200075,-11.504,-20.62,-190.677,163.4832643,6.9630733,-0.0546458,-204.883,38.485,-192.737
00:00:06.725,40.0550132,-5.4989944,-164.9890397,-10.351,-20.883,-190.54,164.5676739,2.9598227,1.381737,-208.689,35.33,-181.891
00:00:06.750,40.8757109,-5.5968531,-165.0542695,-9.682,-21.282,-188.913,162.1898147,3.4169958,-3.4145811,-206.771,44.851,-187.222
00:00:06.775,33.4488212,-4.5755851,-164.8530931,-7.392,-20.716,-187.996,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:06.800,37.6381284,-5.2287017,-164.7377597,-8.131,-20.345,-188.168,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:06.825,50.5750101,-6.8111228,-165.6414404,-10.605,-21.364,-188.925,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:06.850,44.9404199,-6.5218786,-164.3132877,-9.685,-19.233,-188.964,160.9194998,9.5642371,-3.0624646,-197.396,43.546,-198.097
00:00:06.875,42.917938,-6.2134885,-164.2768642,-8.578,-19.624,-188.309,165.5199678,5.7511791,-0.3965863,-201.055,39.849,-186.758
00:00:06.900,43.1335972,-5.8891395,-165.1707209,-7.724,-20.86,-186.783,165.8630432,7.4454273,-1.3627273,-199.941,43.441,-193.956
00:00:06.925,36.3233078,-5.0293241,-164.7494789,-6.192,-20.58,-186.933,164.8072693,8.2784771,-1.4639108,-198.824,43.486,-195.271
00:00:06.950,47.2725735,-6.6740883,-164.822068,-8.842,-20.912,-187.381,165.3355139,7.1122667,-0.0186579,-198.653,39.144,-190.218
00:00:06.975,57.7156215,-7.8939178,-165.7268442,-10.829,-22.306,-187.417,164.4988679,7.5277041,-0.7847232,-196.793,40.18,-191.451
00:00:07.000,47.5408273,-6.7079224,-164.8414315,-8.212,-21.247,-187.031,161.8695494,6.7125785,-2.6422158,-198.506,43.562,-190.728
00:00:07.025,39.3169441,-5.9209136,-163.525374,-6.181,-19.497,-185.802,163.3253255,3.5410819,-2.3325916,-200.658,42.925,-179.78
00:00:07.050,46.063198,-6.4332571,-164.9388169,-6.746,-21.193,-185.559,162.7149321,4.1787562,-4.0459206,-202.029,48.053,-185.671
