Time,s1Rz,s1Ry,s1Rx,s1Tx,s1Ty,s1Tz,s2Rz,s2Ry,s2Rx,s2Tx,s2Ty,s2Tz
00:00:00.000,28.0770739,-4.2094445,-163.2772423,-9.89,-22.055,-191.313,161.5811236,6.0873791,-5.0516323,-205.877,46.122,-198.526
00:00:00.025,31.1288257,-4.4542681,-164.1029764,-10.592,-22.804,-191.252,162.9620854,7.64291,-3.3521702,-201.366,42.885,-196.504
00:00:00.050,37.6066035,-5.3837172,-164.27621,-11.959,-22.818,-190.355,162.0043341,10.429527,-2.9918566,-197.711,41.223,-203.33
00:00:00.075,32.3199442,-4.5409486,-164.417649,-10.5,-23.457,-191.401,161.730457,6.682334,-3.9590847,-205.026,44.303,-199.602
00:00:00.100,31.1595313,-4.6378856,-163.4727537,-10.818,-22.221,-191.141,163.4445215,6.9768835,-3.7571935,-202.157,43.868,-196.711
00:00:00.125,35.0958938,-5.3768569,-163.1073678,-11.306,-21.712,-190.963,163.0934042,4.5069426,-2.460622,-205.798,41.081,-189.809
00:00:00.150,35.1286273,-5.3463061,-163.2185541,-11.36,-21.819,-190.995,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:00.175,31.670414,-4.78485,-163.2409784,-10.591,-22.093,-191.48,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:00.200,36.4989114,-5.1684917,-164.4117874,-11.844,-23.124,-190.52,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:00.225,37.1849629,-5.4073424,-164.0179276,-12.322,-22.611,-190.555,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:00.250,31.9648196,-4.5558294,-164.1862768,-10.74,-23.219,-191.699,160.9700237,6.9101155,-4.8774658,-206.24,46.299,-202.29
00:00:00.275,33.0478548,-4.92913,-163.4899604,-11.095,-22.182,-190.962,162.0629138,6.8985507,-4.5422768,-202.248,45.172,-196.145
00:00:00.300,43.9511187,-6.1793488,-164.7623612,-12.725,-23.658,-190.765,160.8774796,6.6516653,-3.2682273,-204.859,43.497,-198.16
00:00:00.325,35.3462209,-5.0625704,-164.2016451,-11.222,-23.216,-190.917,162.217081,7.5871859,-4.8376089,-204.414,46.899,-203.943
00:00:00.350,31.1169476,-4.6203183,-163.5112054,-10.549,-22.308,-191.276,163.1220556,7.7363194,-3.8140593,-200.904,44.437,-197.903
00:00:00.375,37.4538864,-5.4724548,-163.9508137,-12.235,-22.591,-190.374,162.7571301,8.1042515,-2.9291334,-201.806,42.315,-199.059
00:00:00.400,33.3756704,-5.0064764,-163.4060025,-11.078,-22.172,-190.691,159.7002629,7.135218,-5.222638,-205.152,45.401,-200.347
00:00:00.425,30.345184,-4.3389885,-164.0949013,-10.495,-22.994,-191.174,159.9401699,6.4168741,-6.3621543,-204.649,49.08,-200.338
00:00:00.450,33.9134446,-5.0697172,-163.4773981,-11.353,-21.864,-190.789,162.0049096,7.1473462,-3.3620835,-200.605,42.532,-194.041
00:00:00.475,40.2486257,-5.5088546,-165.0400971,-12.114,-24.083,-191.121,161.0808559,8.6822755,-3.3874959,-203.386,43.487,-204.586
00:00:00.500,32.5834575,-4.7384019,-163.8850744,-10.869,-22.728,-191.542,162.3684626,6.9280697,-3.8843056,-205.38,44.914,-201.34
00:00:00.525,37.2287175,-5.3086661,-164.3258882,-11.63,-23.277,-191.359,162.7339407,5.5484469,-2.8740675,-204.476,42.468,-192.411
00:00:00.550,35.5709578,-5.2577181,-163.7089919,-11.567,-22.153,-190.858,161.4955953,6.0480031,-2.3360824,-204.483,40.416,-193.259
00:00:00.575,30.5360662,-4.6582064,-163.0503592,-10.326,-21.673,-191.307,159.9522716,6.3465681,-5.7924839,-205.299,47.173,-199.624
00:00:00.600,26.4962988,-4.0983813,-162.7170999,-9.829,-21.228,-190.914,162.8050441,7.1668736,-5.4923118,-200.247,47.066,-196.646
00:00:00.625,35.5554272,-5.3140723,-163.5289438,-11.411,-22.079,-190.644,162.7683567,7.4392951,-2.065009,-201.237,40.466,-195.498
00:00:00.650,38.357811,-5.3111515,-164.8090257,-11.902,-23.838,-191.333,161.3654774,7.3828263,-2.9584675,-204.565,41.994,-200.319
00:00:00.675,26.2262556,-3.8212947,-163.7007252,-9.679,-22.332,-191.455,160.7667979,7.367073,-4.528265,-202.428,44.934,-198.19
00:00:00.700,38.3222666,-5.4230049,-164.4771599,-12.003,-23.321,-190.786,161.1822859,7.0158708,-4.8241225,-201.295,45.627,-195.972
00:00:00.725,34.1300463,-5.1690682,-163.2695798,-11.283,-21.637,-190.634,160.2596925,8.8931704,-4.8526633,-200.463,44.678,-202.375
