Time,s1Rz,s1Ry,s1Rx,s1Tx,s1Ty,s1Tz,s2Rz,s2Ry,s2Rx,s2Tx,s2Ty,s2Tz
00:00:28.400,41.0721808,-3.7148095,-170.1045329,-12.27,-3.479,-189.481,165.3860705,10.3004072,3.6127231,-202.254,62.479,-208.343
00:00:28.425,27.571858,-2.117015,-171.3871856,-13.065,-4.812,-190.827,165.3022324,10.1205024,0.7410758,-202.698,71.727,-215.456
00:00:28.450,35.8558907,-2.6633147,-171.7805913,-16.543,-4.944,-194.092,162.740355,11.3003654,2.2833547,-204.188,65.668,-217.957
00:00:28.475,43.9452309,-3.7926287,-170.6175707,-19.96,-4.021,-195.502,167.5929121,12.4073332,5.6454918,-205.782,55.861,-216.47
00:00:28.500,25.9408226,-2.1153475,-170.8343401,-19.107,-4.124,-194.858,167.502333,17.2186798,5.4727403,-202.048,56.748,-229.45
00:00:28.525,4.1108999,-0.3288419,-170.8568745,-17.881,-4.361,-195.628,168.9940111,14.8178696,5.9172585,-207.72,58.186,-227.05
00:00:28.550,11.6279568,-0.8660999,-171.5094558,-20.165,-5.331,-197.386,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:28.575,16.6342255,-1.2896653,-171.1951088,-22.957,-4.378,-200.172,169.6334007,11.7533715,3.8880889,-209.087,61.942,-221.653
00:00:28.600,-0.9243025,0.0840088,-169.6136634,-23.275,-1.674,-202.691,163.3511075,13.999747,2.97467,-211.993,59.326,-229.35
00:00:28.625,14.0460196,-1.1925258,-170.3423788,-26.844,-2.887,-203.229,164.7098825,13.2681336,3.6674905,-220.258,57.575,-233.069
00:00:28.650,-18.7416726,1.4356458,-171.316691,-24.327,-4.723,-203.006,161.8530447,19.0974065,-1.1868612,-211.066,70.498,-252.819
00:00:28.675,-34.5543879,2.5678658,-171.7568248,-23.869,-5.717,-203.747,162.5461657,19.1358869,-2.5140224,-215.845,77.349,-261.516
00:00:28.700,-16.9690665,1.0065785,-173.2599761,-28.197,-7.674,-204.94,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:28.725,-22.0335798,1.6626798,-171.4747806,-28.645,-4.509,-207.158,166.1779498,19.1085703,-0.5482059,-211.209,69.948,-254.029
00:00:28.750,-22.6271837,2.1439999,-169.313398,-29.294,-1.12,-208.997,167.8494967,18.3956816,5.2092178,-215.886,52.303,-247.108
00:00:28.775,-25.0964577,2.1661932,-170.289858,-30.13,-2.889,-208.885,172.0188261,13.8290833,8.1211151,-222.617,48.154,-237.026
00:00:28.800,-58.0600331,4.6967239,-171.5479629,-26.347,-4.555,-208.339,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:28.825,-56.7480523,4.9471077,-170.8543671,-26.451,-4.045,-208.413,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:28.850,-43.4546377,3.1793982,-172.0324171,-30.351,-5.542,-208.181,167.6707202,18.7503686,-0.0188025,-216.284,72.09,-259.527
00:00:28.875,-25.9941081,2.0233768,-171.2498709,-32.341,-3.931,-209.661,164.049917,18.5195342,-0.3469543,-216.046,69.08,-259.009
00:00:28.900,-29.2606283,2.7006247,-169.6806546,-30.535,-2.372,-209.947,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:28.925,-42.4547636,3.5274147,-170.934746,-29.186,-4.591,-208.331,171.0062846,15.7596865,5.5449977,-224.528,54.35,-247.969
00:00:28.950,-64.6379344,4.7375696,-172.5177775,-28.271,-6.322,-208.576,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:28.975,-39.2882039,2.5699084,-172.8086481,-32.388,-6.117,-211.049,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:29.000,-8.9955254,0.6541008,-171.6991695,-35.805,-5.008,-210.939,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:29.025,-45.9754094,3.6773148,-171.3451357,-31.644,-4.207,-209.648,166.3665655,25.2490607,2.9152244,-202.477,57.791,-269.138
00:00:29.050,-67.6845542,5.9702724,-171.1057716,-28.29,-4.491,-209.912,165.7123873,24.2284636,0.8340667,-208.13,69.041,-275.409
00:00:29.075,-49.0948675,3.7938167,-171.7049425,-31.624,-5.35,-210.234,169.7184508,18.9786963,2.3633165,-219.734,67.802,-262.13
00:00:29.100,-30.1441764,2.3449016,-171.3080376,-34.147,-4.915,-211.128,170.2136515,21.0871845,2.3654013,-209.786,64.786,-261.889
00:00:29.125,-34.68608,3.069812,-170.1916536,-33.431,-2.813,-212.008,166.3803798,23.775079,2.2355347,-205.507,60.418,-267.874
00:00:29.150,-46.3105376,3.3854635,-172.0943224,-33.289,-6.092,-210.623,171.414669,17.8562053,6.6292923,-217.508,51.354,-250.776
00:00:29.175,-54.9357083,3.4535502,-173.3621165,-32.841,-8.226,-209.981,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:29.200,-42.7362625,3.482266,-171.1148438,-32.476,-4.517,-211.122,166.5954899,19.2111912,-0.3762909,-216.843,69.778,-258.559
00:00:29.225,-34.657168,3.3287192,-169.3591505,-32.683,-1.805,-212.267,168.0157412,18.3143634,4.8316431,-221.379,52.403,-251.911
00:00:29.250,-34.1490067,2.5724243,-171.6384097,-33.6,-5.815,-210.263,173.4703413,13.3854764,7.6641157,-227.258,48.455,-239.392
00:00:29.275,-67.9200558,5.6918234,-171.557166,-27.874,-5.48,-208.923,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:29.300,-55.5129098,4.9278351,-170.6513061,-28.911,-4.44,-210.477,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:29.325,-10.9637625,0.8738266,-170.9136987,-35.575,-4.429,-211.014,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28,-3.697314e+28
00:00:29.350,-31.3650329,2.4974135,-171.1211522,-32.82,-4.579,-209.87,167.0692464,22.636792,2.6687541,-203.452,59.289,-259.052
00:00:29.375,-62.4116421,5.2366743,-171.3655605,-28.276,-5.338,-209.202,165.5081342,22.980537,-0.3590206,-206.37,70.441,-266.873
00:00:29.400,-58.2412226,4.842581,-171.3184293,-28.605,-5.658,-208.255,169.9807794,18.3033967,1.3335969,-216.668,67.675,-253.758
00:00:29.425,-18.9700346,1.4629812,-171.2600143,-33.593,-5.439,-208.756,169.6402173,19.0434883,1.9929493,-212.957,64.734,-254.558
