Time,s1Rz,s1Ry,s1Rx,s1Tx,s1Ty,s1Tz,s2Rz,s2Ry,s2Rx,s2Tx,s2Ty,s2Tz
00:00:00.000,43.5989501,-4.3274951,-169.2070848,-7.651,-6.813,-182.396,161.3543587,-3.9284102,7.1755265,-166.839,65.059,-162.438
00:00:00.025,43.6090958,-4.3291232,-169.2057998,-7.656,-6.81,-182.4,161.3801287,-3.9308598,7.1758546,-166.842,65.056,-162.442
00:00:00.050,43.5745421,-4.326704,-169.2024176,-7.654,-6.805,-182.402,161.3909993,-3.9318977,7.1716002,-166.841,65.066,-162.445
00:00:00.075,43.5819795,-4.3273688,-169.2027882,-7.653,-6.806,-182.397,161.3930475,-3.9276426,7.1715554,-166.838,65.065,-162.454
00:00:00.100,43.6092223,-4.3292,-169.2056435,-7.655,-6.808,-182.4,161.4166934,-3.9301579,7.1786078,-166.84,65.051,-162.453
00:00:00.125,43.5816907,-4.3265406,-169.2047661,-7.648,-6.805,-182.399,161.4508768,-3.9457877,7.1891348,-166.854,65.034,-162.438
00:00:00.150,43.6085242,-4.3289633,-169.2060412,-7.65,-6.809,-182.401,161.4609399,-3.9575303,7.1924989,-166.867,65.031,-162.425
00:00:00.175,43.5463938,-4.3245337,-169.2001559,-7.643,-6.802,-182.396,161.4847642,-3.9671092,7.1940921,-166.878,65.027,-162.414
00:00:00.200,43.5465548,-4.324408,-169.200512,-7.647,-6.802,-182.398,161.4921143,-3.9616521,7.1894185,-166.878,65.035,-162.429
00:00:00.225,43.5547832,-4.3256622,-169.1996335,-7.648,-6.8,-182.398,161.4421474,-3.9449078,7.1872684,-166.868,65.041,-162.449
00:00:00.250,43.5911018,-4.3287582,-169.2018178,-7.653,-6.803,-182.402,161.3918906,-3.9389629,7.186604,-166.865,65.044,-162.443
00:00:00.275,43.5373947,-4.3275619,-169.1901812,-7.646,-6.788,-182.397,161.420216,-3.9441465,7.1884575,-166.862,65.039,-162.435
00:00:00.300,43.5184472,-4.3258892,-169.1891796,-7.639,-6.788,-182.399,161.418016,-3.9419885,7.1861833,-166.852,65.04,-162.432
