Time,s1Rz,s1Ry,s1Rx,s1Tx,s1Ty,s1Tz,s2Rz,s2Ry,s2Rx,s2Tx,s2Ty,s2Tz
00:00:28.300,52.1761762,-5.292569,-169.2150993,-7.683,-3.687,-182.416,158.6158816,-1.3737098,3.3647313,-162.181,76.792,-167.063
00:00:28.325,39.0391703,-4.0184922,-168.6965987,-5.682,-3.127,-181.612,159.7958313,-1.8007281,4.948591,-164.304,73.969,-166.109
00:00:28.350,44.9413906,-4.2463554,-169.7562152,-6.13,-4.796,-181.525,169.5827261,-4.8247818,5.9154793,-168.102,71.253,-163.297
00:00:28.375,44.2899168,-4.3171958,-169.4170847,-6.46,-3.919,-182.338,168.136075,-3.4302064,5.5544344,-166.422,72.147,-164.509
00:00:28.400,37.6090955,-3.9817089,-168.3425233,-6.272,-2.063,-183.113,163.8341119,-1.9951165,7.4449007,-166.728,68.597,-165.352
00:00:28.425,42.3730654,-4.1334436,-169.361951,-6.734,-3.563,-183.221,164.861219,-3.4398441,10.1292289,-170.651,64.118,-163.847
00:00:28.450,38.1477296,-3.5229668,-169.8347874,-5.788,-4.303,-181.667,164.3086229,-4.435137,8.9965748,-169.925,66.39,-162.137
00:00:28.475,30.2531537,-2.9917942,-168.9640632,-4.896,-3.051,-181.491,160.8301005,-2.9188912,8.4848378,-169.052,68.709,-164.513
00:00:28.500,44.3499995,-4.5359594,-168.9001229,-7.699,-3.112,-183.044,162.8814109,-4.4034811,8.5496493,-171.323,68.682,-163.807
00:00:28.525,58.7807404,-5.4993259,-170.252508,-9.499,-4.241,-183.663,161.2899427,-3.2424902,8.1897988,-169.796,69.209,-164.968
00:00:28.550,45.9024975,-4.178739,-170.1521113,-7.155,-4.56,-182.961,156.4429114,-1.2053907,5.0329599,-167.43,74.618,-168.249
00:00:28.575,30.2884618,-2.99192,-168.9770023,-5.252,-3.206,-181.456,160.537703,-2.2302265,6.6646093,-171.099,70.648,-166.023
00:00:28.600,40.1394306,-3.7247814,-169.8280712,-6.789,-4.246,-182.308,168.0260669,-3.6734464,5.8475848,-171.853,71.962,-166.071
00:00:28.625,40.0175984,-3.9885116,-169.0756786,-6.675,-2.773,-183.127,162.7670144,-2.6232189,4.4162649,-170.306,75.137,-167.712
00:00:28.650,41.7637569,-4.5023112,-168.2338624,-7.012,-1.918,-183.492,158.9961971,-1.9668849,6.2490962,-169.808,70.436,-166.17
00:00:28.675,42.6698714,-4.1506074,-169.3990881,-6.636,-3.515,-182.037,163.2157026,-2.2174112,6.6671557,-168.424,70.176,-167.046
00:00:28.700,31.5554606,-2.7142821,-170.4143051,-5.18,-4.602,-181.634,164.049197,-2.5044257,5.0690881,-166.121,74.482,-167.712
