Time,s1Rz,s1Ry,s1Rx,s1Tx,s1Ty,s1Tz,s2Rz,s2Ry,s2Rx,s2Tx,s2Ty,s2Tz
00:00:08.325,47.4676408,-4.6874286,-169.3635446,-1.421,-1.591,-176.763,160.2649592,-5.963026,10.6939933,-170.632,61.611,-153.404
00:00:08.350,68.3179616,-6.5267916,-170.3934658,-4.609,-2.688,-178.855,162.560419,-5.8699381,10.0315464,-170.428,62.505,-154.75
00:00:08.375,56.4688152,-5.5728221,-169.6418151,-3.087,-1.601,-178.393,155.1110571,-2.6762709,8.6747741,-168.268,64.647,-157.681
00:00:08.400,65.3318431,-5.6643778,-171.175553,-3.35,-4.056,-178.03,162.0386675,-5.1192298,6.552833,-168.492,67.962,-156.317
00:00:08.425,56.5073335,-5.1360483,-170.4585233,-2.783,-2.602,-178.522,159.1165836,-2.9746349,3.8990518,-165.124,72.722,-160.415
00:00:08.450,71.3602587,-6.5771291,-170.8496809,-4.659,-3.246,-179.531,161.6602815,-3.1418078,5.1167578,-164.614,69.751,-159.367
00:00:08.475,53.1611671,-4.3524339,-171.3135194,-1.874,-3.757,-177.729,163.0837772,-2.4963494,5.754777,-162.893,68.717,-159.383
00:00:08.500,55.268704,-5.1884011,-170.1078482,-2.735,-2.504,-178.052,166.2589384,-5.585515,7.3898038,-165.957,65.435,-154.674
00:00:08.525,62.7326322,-5.6609845,-170.7262836,-3.746,-2.948,-179.137,161.500212,-3.0266274,7.9508649,-163.818,65.191,-157.184
00:00:08.550,48.8285619,-4.7242274,-169.6150189,-1.623,-2.074,-176.988,159.7429064,-4.1824056,9.2296676,-166.706,63.256,-154.593
00:00:08.575,65.5355323,-6.0197848,-170.6596989,-3.554,-3.157,-178.197,162.0778994,-4.8741543,9.4714065,-167.953,63.086,-154.985
00:00:08.600,58.4872894,-5.8547811,-169.5626659,-3.173,-1.532,-178.277,157.6264283,-3.4939766,10.2282891,-168.256,61.285,-155.179
00:00:08.625,61.5328201,-5.3903302,-170.9577025,-2.525,-3.646,-177.564,161.3673275,-5.8035507,8.2013038,-168.736,64.891,-153.848
00:00:08.650,57.6042278,-5.450363,-170.1038861,-2.792,-2.247,-178.233,159.4794136,-3.9474509,6.6623592,-166.585,67.167,-156.622
00:00:08.675,64.9899276,-6.2525986,-170.1977073,-3.856,-2.451,-178.3,160.3173023,-3.4547055,4.8053768,-163.757,69.82,-157.611
00:00:08.700,50.4185685,-4.66097,-170.1182037,-1.546,-2.657,-176.93,161.6184964,-2.3670259,3.6858013,-161.16,71.223,-158.264
00:00:08.725,65.560735,-6.4262758,-170.0355806,-3.901,-2.494,-178.649,162.6726294,-2.437014,5.2034483,-161.27,68.774,-157.392
